2017-08-30_18:40:18('Task started, migrate_statement=', "SELECT page_title, platform FROM [Karma].[dbo].[KnownPages] where page_title not like LOWER('%bug%') and platform != 'xWiki'", 'title_like=', 'None')
2017-08-30_18:41:36(('SUCCESS: Page', '"Homework: Deployment lab" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '56/662')
2017-08-30_18:41:36(('SUCCESS: Page', '"8. Upgrading SQL 2005 to SQL 2008/2012 etc." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '57/662')
2017-08-30_18:41:38(('SUCCESS: Page', '"LEAD" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '58/662')
2017-08-30_18:41:40(('SUCCESS: Page', '"Opening a case with Microsoft" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '59/662')
2017-08-30_18:41:41(('SUCCESS: Page', '"Troubleshooting VEAD with Esentutl" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '60/662')
2017-08-30_18:41:42(('SUCCESS: Page', '"How Veeam ONE calculates values used in Reports" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '61/662')
2017-08-30_18:41:43(('SUCCESS: Page', '"IBM TS 3xxx Tape Library inventory fails: Exception occurred during PrepareTape. No media in drive." from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '62/662')
2017-08-30_18:41:44(('SUCCESS: Page', '"ASIA ANZ general Rules and Exceptions" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '63/662')
2017-08-30_18:41:46(('SUCCESS: Page', '"All VMs added via SCVMM fail: An existing connection was forcibly closed by the remote host" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '64/662')
2017-08-30_18:41:47(('SUCCESS: Page', '"Networking 1. Definition. Equipment. OSI. TCP/IP." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '65/662')
2017-08-30_18:41:48(('SUCCESS: Page', '"SureBackup" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '66/662')
2017-08-30_18:41:49(('SUCCESS: Page', '"Vmware" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '67/662')
2017-08-30_18:41:49(('SUCCESS: Page', '"Troubleshooting Exchange issues by Eseutil" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '68/662')
2017-08-30_18:41:50(('SUCCESS: Page', '"Types of rescan" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '69/662')
2017-08-30_18:41:51(('SUCCESS: Page', '"Investigating error "The storage file was not verified."" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '70/662')
2017-08-30_18:41:52(('SUCCESS: Page', '"How to move Enterprise Manager to a new server" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '71/662')
2017-08-30_18:41:53(('SUCCESS: Page', '"OS typical builds and versions" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '72/662')
2017-08-30_18:41:53(('ERROR: Page', '"Vmware Sure Backup Job" from platform', 'Confluence', 'has no text'), 'migrated in total:', '72/662')
2017-08-30_18:41:53(('SUCCESS: Page', '"Feature request: add UI option to select NetApp volumes for daily rescan" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '73/662')
2017-08-30_18:41:53(('ERROR: Page', '"Vmware Restore File-Level Other OS" from platform', 'Confluence', 'has no text'), 'migrated in total:', '73/662')
2017-08-30_18:41:54(('SUCCESS: Page', '"If Veeam is monitored by MP, SQL server running Veeam database may consume lot of CPU" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '74/662')
2017-08-30_18:41:56(('SUCCESS: Page', '"Recovering failed Instant Recovery session" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '75/662')
2017-08-30_18:41:57(('SUCCESS: Page', '"Resolving "There is an item with the specified name and another type" in case of Cloud Backup job (case 02008597)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '76/662')
2017-08-30_18:41:58(('SUCCESS: Page', '"Chicken or Egg?" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '77/662')
2017-08-30_18:41:59(('SUCCESS: Page', '"Backup file corrupted" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '78/662')
2017-08-30_18:42:00(('SUCCESS: Page', '"Index, REORGANIZE and REBUILD (eng)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '79/662')
2017-08-30_18:42:02(('SUCCESS: Page', '"How to obtain VM GIUD and process PID" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '80/662')
2017-08-30_18:42:04(('SUCCESS: Page', '"Cannot insert duplicate key row in object \'dbo.C.BackupProxies\' with unique index \'PK_C.BackupProxies_unique_id\'." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '81/662')
2017-08-30_18:42:06(('SUCCESS: Page', '"Diskspd (performance tester)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '82/662')
2017-08-30_18:42:07(('SUCCESS: Page', '"[dbo].[Backup.Model.NetAppVServers]" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '83/662')
2017-08-30_18:42:08(('SUCCESS: Page', '"SOBR extent selection" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '84/662')
2017-08-30_18:42:09(('SUCCESS: Page', '"Job cannot be started" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '85/662')
2017-08-30_18:42:10(('SUCCESS: Page', '"Recently added and changed pages" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '86/662')
2017-08-30_18:42:12(('SUCCESS: Page', '"Entire VM restore of VM protected by a third-party tool Checkpoint Secure Gateway Virtual Edition fails" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '87/662')
2017-08-30_18:42:14(('SUCCESS: Page', '"Notepad++ UDL Plug-in to read Veeam Logs more conveniently" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '88/662')
2017-08-30_18:42:15(('SUCCESS: Page', '"VMware vSphere Basics" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '89/662')
2017-08-30_18:42:16(('SUCCESS: Page', '"Local connect optimization between agents on the backup proxy" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '90/662')
2017-08-30_18:42:17(('SUCCESS: Page', '"Fix 33616" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '91/662')
2017-08-30_18:42:19(('SUCCESS: Page', '"IBM Tape Diagnostic Tool" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '92/662')
2017-08-30_18:42:20(('SUCCESS: Page', '"How to truncate SQL Logs manually" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '93/662')
2017-08-30_18:42:21(('SUCCESS: Page', '"UPGRADE ORDERS" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '94/662')
2017-08-30_18:42:22(('SUCCESS: Page', '"VESQL - restore to AlwaysOn (Specify AlwaysON Restore Options isn\'t shown)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '95/662')
2017-08-30_18:42:23(('SUCCESS: Page', '"Tape GFS logic" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '96/662')
2017-08-30_18:42:24(('SUCCESS: Page', '"How the process of registering Cloud and Service Providers on Veeam forums works" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '97/662')
2017-08-30_18:42:24(('SUCCESS: Page', '"Rental General" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '98/662')
2017-08-30_18:42:26(('SUCCESS: Page', '"Subst tricks for rotated repositories testing" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '99/662')
2017-08-30_18:42:27(('SUCCESS: Page', '"Patches and fixes" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '100/662')
2017-08-30_18:42:28(('SUCCESS: Page', '"HPE orders" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '101/662')
2017-08-30_18:42:30(('SUCCESS: Page', '"Linux FLR appliance deploy failed: Module \'MonitorLoop\' power on failed." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '102/662')
2017-08-30_18:42:31(('SUCCESS: Page', '"Incoming call on a severity 1 issue" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '103/662')
2017-08-30_18:42:33(('SUCCESS: Page', '"Easy start to script on Powershell" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '104/662')
2017-08-30_18:42:33(('SUCCESS: Page', '"4. Veeam Configuration Backup And Configuration Restore" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '105/662')
2017-08-30_18:42:34(('SUCCESS: Page', '"Delete nworks namespace (powershell)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '106/662')
2017-08-30_18:42:35(('SUCCESS: Page', '"France" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '107/662')
2017-08-30_18:42:35(('SUCCESS: Page', '"Understanding and Talking to Customers About Packet Traces" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '108/662')
2017-08-30_18:42:36(('SUCCESS: Page', '"Air wizards registry keys" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '109/662')
2017-08-30_18:42:37(('SUCCESS: Page', '"Multiple VES Servers in one Management Group" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '110/662')
2017-08-30_18:42:37(('ERROR: Page', '"Hyper-V Backup Copy Job" from platform', 'Confluence', 'has no text'), 'migrated in total:', '110/662')
2017-08-30_18:42:40(('SUCCESS: Page', '"Как создать свою первую VM в Veeam Support Lab" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '111/662')
2017-08-30_18:42:41(('SUCCESS: Page', '"ANZ" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '112/662')
2017-08-30_18:42:42(('SUCCESS: Page', '"List of MBR and GPT partition identifiers for PCs" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '113/662')
2017-08-30_18:42:43(('SUCCESS: Page', '"Management Pack - Tier1 - FTR" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '114/662')
2017-08-30_18:42:44(('SUCCESS: Page', '"Severity 1 workflow" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '115/662')
2017-08-30_18:42:46(('SUCCESS: Page', '"Failed to start repository agent" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '116/662')
2017-08-30_18:42:47(('SUCCESS: Page', '"[dbo].[Backup.Model.JobSessions]" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '117/662')
2017-08-30_18:42:48(('SUCCESS: Page', '"VeeamAgent Performance Log Parser (CPP)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '118/662')
2017-08-30_18:42:49(('SUCCESS: Page', '"Failed to parse "." (System.Exception)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '119/662')
2017-08-30_18:42:49(('SUCCESS: Page', '"FAQ: открытые шпаргалки" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '120/662')
2017-08-30_18:42:53(('SUCCESS: Page', '"Vddk agent crashes after upgrading to patch 2" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '121/662')
2017-08-30_18:42:53(('SUCCESS: Page', '"Veeam Agent for Linux most common issues" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '122/662')
2017-08-30_18:42:54(('SUCCESS: Page', '"Veeam Endpoint backup fails on \'System Reserved\' partition" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '123/662')
2017-08-30_18:43:01(('SUCCESS: Page', '"How to operate jobs using Rest API" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '124/662')
2017-08-30_18:43:01(('SUCCESS: Page', '"VP210 Summary (Management Pack)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '125/662')
2017-08-30_18:43:02(('SUCCESS: Page', '"Other-OS FLR troubleshooting tool" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '126/662')
2017-08-30_18:43:03(('SUCCESS: Page', '"[dbo].[Notification.MailSettings]" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '127/662')
2017-08-30_18:43:04(('SUCCESS: Page', '"Linux- or VAL-related KBs" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '128/662')
2017-08-30_18:43:05(('SUCCESS: Page', '"Log Diving: Job Options" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '129/662')
2017-08-30_18:43:06(('SUCCESS: Page', '"VDDK performance tester" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '130/662')
2017-08-30_18:43:07(('SUCCESS: Page', '"SMTPDummy" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '131/662')
2017-08-30_18:43:07(('SUCCESS: Page', '"DB restore with SQLCMD" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '132/662')
2017-08-30_18:43:08(('SUCCESS: Page', '"Basic Network Troubleshooting" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '133/662')
2017-08-30_18:43:09(('SUCCESS: Page', '"Kaseya: Arithmetic overflow error converting expression to datatype bigint" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '134/662')
2017-08-30_18:43:09(('SUCCESS: Page', '"Backup job to a CIFs share fails with "The specified network name is no longer available" after merge is complete and renameFileWithRollback command is sent" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '135/662')
2017-08-30_18:43:10(('SUCCESS: Page', '"DB administration via SQLCMD" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '136/662')
