2017-09-01_15:35:24('Task started, migrate_statement=', "SELECT page_title, platform FROM [Karma].[dbo].[KnownPages] where page_title not like LOWER('bug%') and platform != 'xWiki'", 'title_like=', 'None')
2017-09-01_15:37:23(('SUCCESS: Page', '"Chicken or Egg?" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '79/685')
2017-09-01_15:37:25(('SUCCESS: Page', '"Backup file corrupted" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '80/685')
2017-09-01_15:37:26(('SUCCESS: Page', '"Index, REORGANIZE and REBUILD (eng)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '81/685')
2017-09-01_15:37:29(('SUCCESS: Page', '"How to obtain VM GIUD and process PID" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '82/685')
2017-09-01_15:37:32(('SUCCESS: Page', '"Cannot insert duplicate key row in object \'dbo.C.BackupProxies\' with unique index \'PK_C.BackupProxies_unique_id\'." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '83/685')
2017-09-01_15:37:34(('SUCCESS: Page', '"Diskspd (performance tester)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '84/685')
2017-09-01_15:37:35(('SUCCESS: Page', '"[dbo].[Backup.Model.NetAppVServers]" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '85/685')
2017-09-01_15:37:36(('SUCCESS: Page', '"SOBR extent selection" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '86/685')
2017-09-01_15:37:37(('SUCCESS: Page', '"Job cannot be started" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '87/685')
2017-09-01_15:37:38(('SUCCESS: Page', '"Recently added and changed pages" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '88/685')
2017-09-01_15:37:40(('SUCCESS: Page', '"Entire VM restore of VM protected by a third-party tool Checkpoint Secure Gateway Virtual Edition fails" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '89/685')
2017-09-01_15:37:41(('SUCCESS: Page', '"Notepad++ UDL Plug-in to read Veeam Logs more conveniently" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '90/685')
2017-09-01_15:37:43(('SUCCESS: Page', '"VMware vSphere Basics" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '91/685')
2017-09-01_15:37:45(('SUCCESS: Page', '"Local connect optimization between agents on the backup proxy" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '92/685')
2017-09-01_15:37:45(('SUCCESS: Page', '"Fix 33616" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '93/685')
2017-09-01_15:37:48(('SUCCESS: Page', '"IBM Tape Diagnostic Tool" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '94/685')
2017-09-01_15:37:49(('SUCCESS: Page', '"How to truncate SQL Logs manually" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '95/685')
2017-09-01_15:37:51(('SUCCESS: Page', '"UPGRADE ORDERS" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '96/685')
2017-09-01_15:37:52(('SUCCESS: Page', '"VESQL - restore to AlwaysOn (Specify AlwaysON Restore Options isn\'t shown)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '97/685')
2017-09-01_15:37:53(('SUCCESS: Page', '"Tape GFS logic" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '98/685')
2017-09-01_15:37:54(('SUCCESS: Page', '"How the process of registering Cloud and Service Providers on Veeam forums works" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '99/685')
2017-09-01_15:37:55(('SUCCESS: Page', '"Rental General" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '100/685')
2017-09-01_15:37:56(('SUCCESS: Page', '"Subst tricks for rotated repositories testing" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '101/685')
2017-09-01_15:37:58(('SUCCESS: Page', '"Patches and fixes" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '102/685')
2017-09-01_15:37:59(('SUCCESS: Page', '"HPE orders" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '103/685')
2017-09-01_15:38:03(('SUCCESS: Page', '"Linux FLR appliance deploy failed: Module \'MonitorLoop\' power on failed." from platform', 'Confluence', 'is migrated'), 'migrated in total:', '104/685')
2017-09-01_15:38:04(('SUCCESS: Page', '"Incoming call on a severity 1 issue" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '105/685')
2017-09-01_15:38:05(('SUCCESS: Page', '"Easy start to script on Powershell" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '106/685')
2017-09-01_15:38:06(('SUCCESS: Page', '"4. Veeam Configuration Backup And Configuration Restore" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '107/685')
2017-09-01_15:38:07(('SUCCESS: Page', '"Delete nworks namespace (powershell)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '108/685')
2017-09-01_15:38:08(('SUCCESS: Page', '"France" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '109/685')
2017-09-01_15:38:08(('SUCCESS: Page', '"Understanding and Talking to Customers About Packet Traces" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '110/685')
2017-09-01_15:38:09(('SUCCESS: Page', '"Air wizards registry keys" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '111/685')
2017-09-01_15:38:10(('SUCCESS: Page', '"Multiple VES Servers in one Management Group" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '112/685')
2017-09-01_15:38:10(('ERROR: Page', '"Hyper-V Backup Copy Job" from platform', 'Confluence', 'has no text'), 'migrated in total:', '112/685')
2017-09-01_15:38:13(('SUCCESS: Page', '"Как создать свою первую VM в Veeam Support Lab" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '113/685')
2017-09-01_15:38:14(('SUCCESS: Page', '"DataDomain Bug - DDBoost library crashing" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '114/685')
2017-09-01_15:38:15(('SUCCESS: Page', '"ANZ" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '115/685')
2017-09-01_15:38:16(('SUCCESS: Page', '"List of MBR and GPT partition identifiers for PCs" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '116/685')
2017-09-01_15:38:18(('SUCCESS: Page', '"Management Pack - Tier1 - FTR" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '117/685')
2017-09-01_15:38:19(('SUCCESS: Page', '"Add Bug" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '118/685')
2017-09-01_15:38:20(('SUCCESS: Page', '"Severity 1 workflow" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '119/685')
2017-09-01_15:38:22(('SUCCESS: Page', '"Failed to start repository agent" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '120/685')
2017-09-01_15:38:22(('SUCCESS: Page', '"[dbo].[Backup.Model.JobSessions]" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '121/685')
2017-09-01_15:38:24(('SUCCESS: Page', '"VeeamAgent Performance Log Parser (CPP)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '122/685')
2017-09-01_15:38:24(('SUCCESS: Page', '"Failed to parse "." (System.Exception)" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '123/685')
2017-09-01_15:38:25(('SUCCESS: Page', '"FAQ: открытые шпаргалки" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '124/685')
2017-09-01_15:38:28(('SUCCESS: Page', '"Vddk agent crashes after upgrading to patch 2" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '125/685')
2017-09-01_15:38:29(('SUCCESS: Page', '"Veeam Agent for Linux most common issues" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '126/685')
2017-09-01_15:38:30(('SUCCESS: Page', '"Veeam Endpoint backup fails on \'System Reserved\' partition" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '127/685')
2017-09-01_15:38:38(('SUCCESS: Page', '"How to operate jobs using Rest API" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '128/685')
2017-09-01_15:38:39(('SUCCESS: Page', '"VP210 Summary (Management Pack)" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '129/685')
2017-09-01_15:38:40(('SUCCESS: Page', '"Other-OS FLR troubleshooting tool" from platform', 'MediaWIKI', 'is migrated'), 'migrated in total:', '130/685')
2017-09-01_15:38:40(('SUCCESS: Page', '"[dbo].[Notification.MailSettings]" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '131/685')
2017-09-01_15:38:42(('SUCCESS: Page', '"Linux- or VAL-related KBs" from platform', 'Confluence', 'is migrated'), 'migrated in total:', '132/685')
